colony,depth,date,reef,score,mortality,C.SH,D.SH,tot.SH,propD,syms,dom,tdom,vis,days,year
120,5,2014-11-24,44,3,0,0.0189149680916698,0.0558533756410283,0.0747683437326982,0.74701903041624,DC,D,D,not bleached,31,y1
120,5,2014-12-16,44,3,0,0.0196732947094024,0.07193975301006,0.0916130477194624,0.785256628841276,DC,D,D,not bleached,53,y1
120,5,2015-01-14,44,3,0,NA,NA,NA,NA,NA,NA,NA,NA,82,y1
120,5,2015-05-06,44,3,0,NA,0.375672144508797,0.375672144508797,1,D,D,D,not bleached,194,y1
120,5,2015-08-11,44,3,0,0.0461794100534059,0.258198973741792,0.304378383795198,0.848282885671415,DC,D,D,not bleached,291,y2
120,5,2015-09-14,44,3,0,0.0471105358791023,0.0228407711738674,0.0699513070529697,0.326523865473615,CD,C,D,not bleached,325,y2
120,5,2015-10-01,44,3,0,0.159451939698196,0.644367292676947,0.803819232375143,0.801632091798745,DC,D,D,not bleached,342,y2
120,5,2015-10-21,44,3,0,NA,NA,NA,NA,NA,NA,NA,NA,362,y2
120,5,2015-11-04,44,3,0,0.0213709307621152,0.0583895973029836,0.0797605280650988,0.732061318041016,DC,D,D,not bleached,376,y2
120,5,2015-12-04,44,NA,NA,0.0154451056833047,0.179512370547913,0.194957476231217,0.920777053633034,DC,D,D,not bleached,406,y2
120,5,2015-12-17,44,3,0,0.331284716535559,1.08271622713111,1.41400094366667,0.765711106474584,DC,D,D,not bleached,419,y2
120,5,2016-01-20,44,3,0,0.029920820598753,0.0819566696717532,0.111877490270506,0.73255727737181,DC,D,D,not bleached,453,y2
120,5,2016-02-11,44,3,0,0.00730496741437711,0.034063138346941,0.0413681057613181,0.82341547238047,DC,D,D,not bleached,475,y2
120,5,2016-03-31,44,NA,NA,0.114947225807437,0.431776063484797,0.546723289292234,0.789752461512582,DC,D,D,not bleached,524,y2
121,7,2014-10-24,44,1,0,0.0133426439168747,NA,0.0133426439168747,0,C,C,C,bleached,0,y1
121,7,2014-11-04,44,1,0,0.0244960393870862,NA,0.0244960393870862,0,C,C,C,bleached,11,y1
121,7,2014-11-24,44,2,0,0.0103869339149639,0.000751917769578579,0.0111388516845425,0.0675040651292648,CD,C,C,bleached,31,y1
121,7,2014-12-16,44,2,0,0.131141562822617,NA,0.131141562822617,0,C,C,C,bleached,53,y1
121,7,2015-01-14,44,3,0,NA,NA,NA,NA,NA,NA,NA,NA,82,y1
121,7,2015-05-06,44,3,0,0.151548782059141,NA,0.151548782059141,0,C,C,C,bleached,194,y1
121,7,2015-08-11,44,1,0,0.0681139237798962,0,0.0681139237798962,0,C,C,C,bleached,291,y2
121,7,2015-09-14,44,1,0,0.0442629541965922,0,0.0442629541965922,0,C,C,C,bleached,325,y2
121,7,2015-10-01,44,1,0,0.0327115414096232,0,0.0327115414096232,0,C,C,C,bleached,342,y2
121,7,2015-10-21,44,1,0,0.0446605105128805,0,0.0446605105128805,0,C,C,C,bleached,362,y2
121,7,2015-11-04,44,2,0,1.58259658900958,0,1.58259658900958,0,C,C,C,bleached,376,y2
121,7,2015-12-04,44,NA,NA,0.0871197456867012,0,0.0871197456867012,0,C,C,C,bleached,406,y2
121,7,2015-12-17,44,3,0,0.0479855404716341,0,0.0479855404716341,0,C,C,C,bleached,419,y2
121,7,2016-01-20,44,3,0,0.0615581443457969,0,0.0615581443457969,0,C,C,C,bleached,453,y2
121,7,2016-02-11,44,3,0,0.246326466758045,0,0.246326466758045,0,C,C,C,bleached,475,y2
121,7,2016-03-31,44,NA,NA,0.2494363371037,0,0.2494363371037,0,C,C,C,bleached,524,y2
122,7,2014-10-24,44,3,0,0.0313236931991953,0.000686314393323038,0.0320100075925183,0.0214406195106136,CD,C,C,not bleached,0,y1
122,7,2014-11-04,44,3,0,0.0952471511849979,0.0068737406600897,0.102120891845088,0.0673098377413001,CD,C,C,not bleached,11,y1
122,7,2014-11-24,44,3,0,1.0935404434051,NA,1.0935404434051,0,C,C,C,not bleached,31,y1
122,7,2014-12-16,44,3,0,0.0213675734658489,0.000502217695015023,0.0218697911608639,0.0229639913486574,CD,C,C,not bleached,53,y1
122,7,2015-01-14,44,3,0,NA,NA,NA,NA,NA,NA,NA,NA,82,y1
122,7,2015-05-06,44,3,0,0.0365034492607111,NA,0.0365034492607111,0,C,C,C,not bleached,194,y1
122,7,2015-08-11,44,3,0,0.0831202355518167,0.0118202566548737,0.0949404922066904,0.124501741882066,CD,C,C,not bleached,291,y2
122,7,2015-09-14,44,3,0,0.205875427793946,0.00116593669275412,0.2070413644867,0.00563141909175844,CD,C,C,not bleached,325,y2
122,7,2015-10-01,44,2,0,0.0221798520588516,0,0.0221798520588516,0,C,C,C,not bleached,342,y2
122,7,2015-10-21,44,3,0,0.227737464933869,0.00811667842345873,0.235854143357328,0.0344139742805436,CD,C,C,not bleached,362,y2
122,7,2015-11-04,44,3,0,0.0383452996238116,0.00324111330488334,0.0415864129286949,0.0779368326486978,CD,C,C,not bleached,376,y2
122,7,2015-12-04,44,NA,NA,0.0203150616491833,0.00663037034788671,0.02694543199707,0.246066581846143,CD,C,C,not bleached,406,y2
122,7,2015-12-17,44,3,0,0.0637466594949318,0.00184451235958638,0.0655911718545182,0.0281213508988301,CD,C,C,not bleached,419,y2
122,7,2016-01-20,44,3,0,0.0342867163295837,0.00251819404288744,0.0368049103724711,0.0684200563838616,CD,C,C,not bleached,453,y2
122,7,2016-02-11,44,3,0,0.0387151905438353,0.00771940395737652,0.0464345945012119,0.166242518973113,CD,C,C,not bleached,475,y2
122,7,2016-03-31,44,NA,NA,0.0536712594447858,0,0.0536712594447858,0,C,C,C,not bleached,524,y2
123,10,2014-10-24,44,1,0,0.0861636214586184,NA,0.0861636214586184,0,C,C,C,bleached,0,y1
123,10,2014-11-04,44,NA,No pic,NA,NA,NA,NA,NA,NA,NA,NA,11,y1
123,10,2014-11-24,44,2,0,2.88961504185349,NA,2.88961504185349,0,C,C,C,bleached,31,y1
123,10,2014-12-16,44,2,0,0.395362102458,NA,0.395362102458,0,C,C,C,bleached,53,y1
123,10,2015-01-14,44,3,0,1.51878521818361,NA,1.51878521818361,0,C,C,C,bleached,82,y1
123,10,2015-05-06,44,3,0,0.0109912738377751,2.01150733105017e-05,0.0110113889110856,0.00182675169072006,CD,C,C,bleached,194,y1
123,10,2015-08-11,44,1,0,0.119724768648493,0,0.119724768648493,0,C,C,C,bleached,291,y2
123,10,2015-09-14,44,1,0,0.00818866255605945,0,0.00818866255605945,0,C,C,C,bleached,325,y2
123,10,2015-10-01,44,1,0,0.000534487397836707,0,0.000534487397836707,0,C,C,C,bleached,342,y2
123,10,2015-10-21,44,1,1,NA,NA,NA,NA,NA,NA,NA,NA,362,y2
123,10,2015-11-04,44,1,1,0.431518271489506,0,0.431518271489506,0,C,C,C,bleached,376,y2
123,10,2015-12-04,44,NA,NA,0.0653550964307018,0,0.0653550964307018,0,C,C,C,bleached,406,y2
